DiseaseName,DiseaseID,Sourse
Cowden-Like Syndrome,MESH:C567337,CTD
Cowpox,MESH:D015605,CTD
Coxa Valga,MESH:D060906,CTD
Coxa Vara,MESH:D060905,CTD
Coxoauricular Syndrome,MESH:C565148,CTD
COXSACKIEVIRUS B3 SUSCEPTIBILITY,OMIM:120050,CTD
Coxsackievirus Infections,MESH:D003384,CTD
Cracked Tooth Syndrome,MESH:D003387,CTD
Crane-Heise syndrome,MESH:C536452,CTD
Cranial Nerve Diseases,MESH:D003389,CTD
Cranial Nerve Injuries,MESH:D020209,CTD
Cranial Nerve Neoplasms,MESH:D003390,CTD
"Cranial Nerves, Congenital Paresis Of",MESH:C565673,CTD
"Cranial Nerves, Recurrent Paresis Of",MESH:C565672,CTD
Cranioacrofacial Syndrome,MESH:C565147,CTD
Craniocerebral Trauma,MESH:D006259,CTD
Craniodiaphyseal Dysplasia,MESH:C562940,CTD
"Craniodiaphyseal Dysplasia, Autosomal Dominant",MESH:C567275,CTD
Cranioectodermal Dysplasia,MESH:C562966,CTD
CRANIOECTODERMAL DYSPLASIA 2,OMIM:613610,CTD
Craniofacial Abnormalities,MESH:D019465,CTD
"Craniofacial Abnormalities, Cataracts, Congenital Heart Disease, Sacral Neural Tube Defects, and Growth and Developmental Retardation",MESH:C564271,CTD
"Craniofacial Anomalies, Empty Sella Turcica, Corneal Endothelial Changes, and Abnormal Retinal and Auditory Bipolar Cells",MESH:C565731,CTD
Craniofacial deafness hand syndrome,MESH:C536453,CTD
Craniofacial Dysostosis,MESH:D003394,CTD
Craniofacial Dysostosis with Diaphyseal Hyperplasia,MESH:C562974,CTD
Craniofacial dyssynostosis,MESH:C536455,CTD
Craniofaciofrontodigital Syndrome,MESH:C567298,CTD
Craniofacioskeletal Syndrome,MESH:C567471,CTD
Craniofrontonasal dysplasia,MESH:C536456,CTD
Craniolenticulosutural Dysplasia,MESH:C564332,CTD
Craniomandibular Disorders,MESH:D017271,CTD
"Craniometaphyseal Dysplasia, Autosomal Dominant",MESH:C565145,CTD
"Craniometaphyseal dysplasia, autosomal recessive type",MESH:C536570,CTD
Craniomicromelic Syndrome,MESH:C566522,CTD
Craniopharyngioma,MESH:D003397,CTD
Craniorhiny,MESH:C565144,CTD
Craniosynostoses,MESH:D003398,CTD
"Craniosynostosis, Adelaide Type",MESH:C563471,CTD
"Craniosynostosis, anal anomalies, and porokeratosis",MESH:C536789,CTD
"Craniosynostosis, Calcification of Basal Ganglia, and Facial Dysmorphism",MESH:C564241,CTD
Craniosynostosis Mental Retardation Clefting Syndrome,MESH:C565663,CTD
Craniosynostosis-Mental Retardation Syndrome of Lin and Gettig,MESH:C565664,CTD
Craniosynostosis Microcephaly with Chromosomal Breakage and Other Abnormalities,MESH:C565667,CTD
"Craniosynostosis, Philadelphia Type",MESH:C563368,CTD
Craniosynostosis radial aplasia syndrome,MESH:C536788,CTD
"Craniosynostosis, sagittal, with Dandy-Walker malformation and hydrocephalus",MESH:C536790,CTD
"Craniosynostosis Syndrome, Autosomal Recessive",MESH:C564700,CTD
"Craniosynostosis, Type 2",MESH:C565753,CTD
Craniosynostosis with Anomalies of the Cranial Base and Digits,MESH:C565666,CTD
Craniosynostosis with Ectopia Lentis,MESH:C566357,CTD
Craniosynostosis with Fibular Aplasia,MESH:C565665,CTD
Craniosynostosis with Ocular Abnormalities and Hallucal Defects,MESH:C564263,CTD
Craniotelencephalic dysplasia,MESH:C535597,CTD
"Creases, Infra-Auricular Cutaneous, with Tall Stature and Advanced Bone Age",MESH:C566543,CTD
"Creatine deficiency, X-linked",MESH:C535598,CTD
"CREATINE PHOSPHOKINASE, ELEVATED SERUM",OMIM:123320,CTD
Cree Mental Retardation Syndrome,MESH:C564654,CTD
CREST Syndrome,MESH:D017675,CTD
"Creutzfeldt-Jakob Disease, Heidenhain Variant",MESH:C566981,CTD
"Creutzfeldt-Jakob Disease, Sporadic",MESH:C565143,CTD
Creutzfeldt-Jakob Syndrome,MESH:D007562,CTD
Cri-du-Chat Syndrome,MESH:D003410,CTD
Crigler-Najjar Syndrome,MESH:D003414,CTD
"Crigler Najjar syndrome, type 2",MESH:C536213,CTD
Crisponi syndrome,MESH:C536214,CTD
Crisscross Heart,MESH:D003420,CTD
Critical Illness,MESH:D016638,CTD
Crohn Disease,MESH:D003424,CTD
Crome syndrome,MESH:C536216,CTD
"Crossed Polydactyly, Type I",MESH:C566783,CTD
Cross Infection,MESH:D003428,CTD
Croup,MESH:D003440,CTD
Crouzon Syndrome With Acanthosis Nigricans,MESH:C567382,CTD
Crumpled helices and small mouth,MESH:C536217,CTD
Crush Syndrome,MESH:D003444,CTD
Cryofibrinogenemia,MESH:C536218,CTD
"Cryofibrinogenemia, Familial Primary",MESH:C565142,CTD
Cryoglobulinemia,MESH:D003449,CTD
"Cryoglobulinemia, Familial Mixed",MESH:C565141,CTD
"Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly",MESH:C563840,CTD
Cryopyrin-Associated Periodic Syndromes,MESH:D056587,CTD
Cryptococcosis,MESH:D003453,CTD
Cryptogenic Organizing Pneumonia,MESH:D018549,CTD
Cryptomicrotia brachydactyly syndrome,MESH:C536219,CTD
"Cryptophthalmos, Unilateral or Bilateral, Isolated",MESH:C565138,CTD
Cryptorchidism,MESH:D003456,CTD
Cryptosporidiosis,MESH:D003457,CTD
"Cryptotia, Familial",MESH:C565140,CTD
CSNB1C,MESH:C567704,CTD
C SYNDROME,OMIM:211750,CTD
CTNL1,MESH:C538444,CTD
Cubital Tunnel Syndrome,MESH:D020430,CTD
Cubitus Valgus with Mental Retardation and Unusual Facies,MESH:C564510,CTD
Cumulative Trauma Disorders,MESH:D012090,CTD
Curatolo Cilio Pessagno syndrome,MESH:C536701,CTD
Curly hair-acral keratoderma-caries syndrome,MESH:C536220,CTD
Curly hair-ankyloblepharon-nail dysplasia syndrome,MESH:C538074,CTD
Currarino triad,MESH:C536221,CTD
Cushing's symphalangism,MESH:C536223,CTD
Cushing Syndrome,MESH:D003480,CTD
Cutaneous anthrax,MESH:C531621,CTD
Cutaneous Fistula,MESH:D017577,CTD
"Cutaneous photosensitivity and colitis, lethal",MESH:C536224,CTD
Cutis Gyrata Syndrome of Beare And Stevenson,MESH:C565129,CTD
Cutis Laxa,MESH:D003483,CTD
"Cutis Laxa, Autosomal Dominant",MESH:C562627,CTD
"CUTIS LAXA, AUTOSOMAL DOMINANT 1",OMIM:123700,CTD
"Cutis Laxa, Autosomal Recessive, Type I",MESH:C562628,CTD
"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IA",OMIM:219100,CTD
"Cutis Laxa, Autosomal Recessive, Type IIA",MESH:C562632,CTD
"Cutis Laxa, Autosomal Recessive, Type IIB",MESH:C567855,CTD
Cutis Laxa-Marfanoid Syndrome,MESH:C563639,CTD
"Cutis laxa, recessive",MESH:C536225,CTD
"Cutis Laxa With Severe Pulmonary, Gastrointestinal, And Urinary Abnormalities",MESH:C567716,CTD
Cutis marmorata telangiectatica congenita,MESH:C536226,CTD
Cutis Verticis Gyrata and Mental Deficiency,MESH:C565661,CTD
"Cutis Verticis Gyrata, Retinitis Pigmentosa, and Sensorineural Deafness",MESH:C565306,CTD
Cyanosis,MESH:D003490,CTD
Cyanosis and Hepatic Disease,MESH:C565660,CTD
Cyclic neutropenia,MESH:C536227,CTD
Cyclic Vomiting Syndrome-Plus,MESH:C564023,CTD
Cyclic Vomiting Syndrome with Neuromuscular Disease,MESH:C564022,CTD
Cyclopia,MESH:C562573,CTD
Cyclosporiasis,MESH:D021866,CTD
Cyclothymic Disorder,MESH:D003527,CTD
Cyprus facial neuromusculoskeletal syndrome,MESH:C536229,CTD
Cystadenocarcinoma,MESH:D003536,CTD
"Cystadenocarcinoma, Mucinous",MESH:D018282,CTD
"Cystadenocarcinoma, Papillary",MESH:D018283,CTD
"Cystadenocarcinoma, Serous",MESH:D018284,CTD
Cystadenofibroma,MESH:D062625,CTD
Cystadenoma,MESH:D003537,CTD
"Cystadenoma, Mucinous",MESH:D018291,CTD
"Cystadenoma, Papillary",MESH:D018292,CTD
"Cystadenoma, Serous",MESH:D018293,CTD
Cystathionase Deficiency,MESH:C562680,CTD
Cysteine Peptiduria,MESH:C565659,CTD
"Cystic Adenomatoid Malformation of Lung, Congenital",MESH:D015615,CTD
Cystic dilatation of renal collecting tubes,MESH:C531743,CTD
Cystic Disease Of Lung,MESH:C563237,CTD
Cysticercosis,MESH:D003551,CTD
Cystic Fibrosis,MESH:D003550,CTD
"CYSTIC FIBROSIS, MODIFIER OF, 1",OMIM:603855,CTD
"Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality",MESH:C565658,CTD
Cystic Kidney Disease with Ventriculomegaly,MESH:C565657,CTD
Cystic medial necrosis of aorta,MESH:C536230,CTD
Cystinosis,MESH:D003554,CTD
"Cystinosis, Infantile Nephropathic",MESH:C565655,CTD
"Cystinosis, Late-Onset Juvenile or Adolescent Nephropathic Type",MESH:C562683,CTD
"Cystinosis, ocular nonnephropathic",MESH:C535765,CTD
Cystinuria,MESH:D003555,CTD
Cystinuria type 1,MESH:C531664,CTD
"Cystinuria, Type A",MESH:C565652,CTD
Cystitis,MESH:D003556,CTD
"Cystitis, Interstitial",MESH:D018856,CTD
Cystocele,MESH:D052858,CTD
Cysts,MESH:D003560,CTD
Cytochrome-c Oxidase Deficiency,MESH:D030401,CTD
Cytomegalic inclusion body disease,MESH:C538505,CTD
Cytomegalovirus Infections,MESH:D003586,CTD
Cytomegalovirus Retinitis,MESH:D017726,CTD
Cytophagaceae Infections,MESH:D045827,CTD
Cytosolic acetoacetyl-CoA thiolase deficiency,MESH:C536005,CTD
"Czech dysplasia, metatarsal type",MESH:C535766,CTD
Dacryocystitis,MESH:D003607,CTD
Daentl Towsend Siegel syndrome,MESH:C535768,CTD
Dahlberg Borer Newcomer syndrome,MESH:C535769,CTD
Daish Hardman Lamont syndrome,MESH:C535770,CTD
Dandruff,MESH:D063807,CTD
Dandy Walker cyst,MESH:C538507,CTD
Dandy Walker malformation postaxial polydactyly,MESH:C535771,CTD
"Dandy-walker malformation with mental retardation, macrocephaly, myopia, and brachytelephalangy",MESH:C535985,CTD
"Dandy-Walker Malformation With Occipital Cephalocele, Autosomal Dominant",MESH:C567185,CTD
Dandy-Walker Syndrome,MESH:D003616,CTD
Dandy Walker variant,MESH:C535772,CTD
Daneman Davy Mancer syndrome,MESH:C535986,CTD
Darier Disease,MESH:D007644,CTD
"Darier Disease, Acral Hemorrhagic Type",MESH:C565125,CTD
"Darier Disease, Segmental",MESH:C565126,CTD
Davenport Donlan syndrome,MESH:C535988,CTD
Davis Lafer syndrome,MESH:C535989,CTD
D-BIFUNCTIONAL PROTEIN DEFICIENCY,OMIM:261515,CTD
Deaf-Blind Disorders,MESH:D054062,CTD
Deafness,MESH:D003638,CTD
"Deafness, Aminoglycoside-Induced",MESH:C564013,CTD
"Deafness, Autosomal Dominant 1",MESH:C565121,CTD
"Deafness, Autosomal Dominant 10",MESH:C563354,CTD
"Deafness, Autosomal Dominant 11",MESH:C563353,CTD
"Deafness, Autosomal Dominant 12",MESH:C563295,CTD
"Deafness, Autosomal Dominant 13",MESH:C566612,CTD
"Deafness, Autosomal Dominant 15",MESH:C566545,CTD
"Deafness, Autosomal Dominant 16",MESH:C565832,CTD
"Deafness, Autosomal Dominant 18",MESH:C565267,CTD
"Deafness, Autosomal Dominant 20",MESH:C565754,CTD
"Deafness, Autosomal Dominant 21",MESH:C564634,CTD
"DEAFNESS, AUTOSOMAL DOMINANT 22;DFNA22 DEAFNESS, AUTOSOMAL DOMINANT 22, WITH HYPERTROPHIC CARDIOMYOPATHY,",OMIM:606346,CTD
"Deafness, Autosomal Dominant 23",MESH:C565357,CTD
"Deafness, Autosomal Dominant 24",MESH:C565239,CTD
"Deafness, Autosomal Dominant 25",MESH:C565319,CTD
"DEAFNESS, AUTOSOMAL DOMINANT 27",OMIM:612431,CTD
"Deafness, Autosomal Dominant 28",MESH:C563890,CTD
"Deafness, Autosomal Dominant 2A",MESH:C567441,CTD
"Deafness, Autosomal Dominant 2B",MESH:C567214,CTD
"Deafness, Autosomal Dominant 30",MESH:C564706,CTD
"Deafness, Autosomal Dominant 31",MESH:C563888,CTD
"DEAFNESS, AUTOSOMAL DOMINANT 33",OMIM:614211,CTD
"Deafness, Autosomal Dominant 36",MESH:C564675,CTD
"Deafness, Autosomal Dominant 39, with Dentinogenesis Imperfecta 1",MESH:C565316,CTD
"Deafness, Autosomal Dominant 3A",MESH:C567277,CTD
"Deafness, Autosomal Dominant 3B",MESH:C567215,CTD
"Deafness, Autosomal Dominant 4",MESH:C563460,CTD
"Deafness, Autosomal Dominant 41",MESH:C564272,CTD
"Deafness, Autosomal Dominant 43",MESH:C564246,CTD
"Deafness, Autosomal Dominant 44",MESH:C564399,CTD
"Deafness, Autosomal Dominant 47",MESH:C563885,CTD
"Deafness, Autosomal Dominant 48",MESH:C564322,CTD
"Deafness, Autosomal Dominant 49",MESH:C564250,CTD
"DEAFNESS, AUTOSOMAL DOMINANT 4A",OMIM:600652,CTD
"Deafness, Autosomal Dominant 5",MESH:C563410,CTD
"DEAFNESS, AUTOSOMAL DOMINANT 50",OMIM:613074,CTD
"DEAFNESS, AUTOSOMAL DOMINANT 51",OMIM:613558,CTD
"Deafness, Autosomal Dominant 52",MESH:C564348,CTD
"Deafness, Autosomal Dominant 53",MESH:C566495,CTD
"Deafness, Autosomal Dominant 59",MESH:C567216,CTD
"Deafness, Autosomal Dominant 6",MESH:C563421,CTD
"Deafness, Autosomal Dominant 7",MESH:C563321,CTD
"Deafness, Autosomal Dominant 9",MESH:C563335,CTD
"Deafness, Autosomal Dominant, Due To Mutation In Myo1a",MESH:C567266,CTD
"Deafness, autosomal dominant nonsyndromic sensorineural 17",MESH:C538050,CTD
"Deafness, autosomal dominant nonsyndromic sensorineural 22",MESH:C538197,CTD
"Deafness, autosomal dominant nonsyndromic sensorineural 23",MESH:C538198,CTD
"Deafness, autosomal dominant nonsyndromic sensorineural 24",MESH:C538199,CTD
"Deafness, autosomal dominant nonsyndromic sensorineural 3",MESH:C538200,CTD
"Deafness, autosomal dominant nonsyndromic sensorineural 53",MESH:C538201,CTD
"Deafness, Autosomal Recessive",MESH:C564609,CTD
"Deafness, Autosomal Recessive 10",MESH:C565341,CTD
"Deafness, Autosomal Recessive 12",MESH:C563327,CTD
"Deafness, Autosomal Recessive 13",MESH:C566410,CTD
"Deafness, Autosomal Recessive 14",MESH:C566344,CTD
"Deafness, Autosomal Recessive 15",MESH:C566611,CTD
"Deafness, Autosomal Recessive 16",MESH:C566339,CTD
"Deafness, Autosomal Recessive 17",MESH:C566418,CTD
"Deafness, Autosomal Recessive 18",MESH:C566580,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 18A",OMIM:602092,CTD
"Deafness, Autosomal Recessive 1A",MESH:C567134,CTD
"Deafness, Autosomal Recessive 1b",MESH:C567213,CTD
"Deafness, Autosomal Recessive 2",MESH:C564007,CTD
"Deafness, Autosomal Recessive 20",MESH:C565828,CTD
"Deafness, Autosomal Recessive 21",MESH:C566353,CTD
"Deafness, Autosomal Recessive 22",MESH:C564633,CTD
"Deafness, Autosomal Recessive 23",MESH:C563705,CTD
"Deafness, Autosomal Recessive, 24",MESH:C567027,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 25",OMIM:613285,CTD
"Deafness, Autosomal Recessive 26",MESH:C565329,CTD
"Deafness, Autosomal Recessive 27",MESH:C565287,CTD
"Deafness, Autosomal Recessive 28",MESH:C565218,CTD
"Deafness, Autosomal Recessive 3",MESH:C563961,CTD
"Deafness, Autosomal Recessive 30",MESH:C564624,CTD
"Deafness, Autosomal Recessive 31",MESH:C564629,CTD
"Deafness, Autosomal Recessive 32",MESH:C563884,CTD
"Deafness, Autosomal Recessive 33",MESH:C564602,CTD
"Deafness, Autosomal Recessive 35",MESH:C563908,CTD
"Deafness, Autosomal Recessive 36",MESH:C563815,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT",OMIM:609006,CTD
"Deafness, Autosomal Recessive 36, Without Vestibular Involvement",MESH:C567219,CTD
"Deafness, Autosomal Recessive 37",MESH:C564331,CTD
"Deafness, Autosomal Recessive 38",MESH:C564273,CTD
"Deafness, Autosomal Recessive 39",MESH:C564265,CTD
"Deafness, Autosomal Recessive 40",MESH:C564266,CTD
"Deafness, Autosomal Recessive 42",MESH:C566460,CTD
"Deafness, Autosomal Recessive 44",MESH:C565716,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 45",OMIM:612433,CTD
"Deafness, Autosomal Recessive 46",MESH:C566459,CTD
"Deafness, Autosomal Recessive 47",MESH:C566498,CTD
"Deafness, Autosomal Recessive 48",MESH:C563720,CTD
"Deafness, Autosomal Recessive 49",MESH:C565717,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT",OMIM:600791,CTD
"Deafness, Autosomal Recessive 5",MESH:C563444,CTD
"Deafness, autosomal recessive 51",MESH:C538202,CTD
"Deafness, Autosomal Recessive 53",MESH:C566453,CTD
"Deafness, autosomal recessive 55",MESH:C538203,CTD
"Deafness, Autosomal Recessive 59",MESH:C565698,CTD
"Deafness, Autosomal Recessive 6",MESH:C563418,CTD
"Deafness, Autosomal Recessive 62",MESH:C565719,CTD
"Deafness, Autosomal Recessive 63",MESH:C566951,CTD
"Deafness, Autosomal Recessive 65",MESH:C565211,CTD
"Deafness, Autosomal Recessive 66",MESH:C565701,CTD
"Deafness, Autosomal Recessive 67",MESH:C565207,CTD
"Deafness, Autosomal Recessive 68",MESH:C563669,CTD
"Deafness, Autosomal Recessive 7",MESH:C563417,CTD
"Deafness, Autosomal Recessive 71",MESH:C567562,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 74",OMIM:613718,CTD
"Deafness, Autosomal Recessive 77",MESH:C567543,CTD
"Deafness, Autosomal Recessive 79",MESH:C567651,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 8",OMIM:601072,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 83",OMIM:613685,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 84A",OMIM:613391,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 85",OMIM:613392,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 89",OMIM:613916,CTD
"Deafness, Autosomal Recessive 9",MESH:C563396,CTD
"DEAFNESS, AUTOSOMAL RECESSIVE 91",OMIM:613453,CTD
"Deafness, Cataract, Retinitis Pigmentosa, And Sperm Abnormalities",MESH:C567467,CTD
"Deafness, Childhood-Onset Neurosensory, Autosomal Recessive 8",MESH:C563395,CTD
"Deafness, Cochlear, with Myopia and Intellectual Impairment",MESH:C565645,CTD
Deafness conductive ptosis skeletal anomalies,MESH:C535993,CTD
"Deafness, Conductive Stapedial, with Ear Malformation and Facial Palsy",MESH:C565123,CTD
"Deafness, Conductive, with Malformed External Ear",MESH:C565644,CTD
"Deafness, Congenital, and Familial Myoclonic Epilepsy",MESH:C565649,CTD
"Deafness, Congenital, and Onychodystrophy, Autosomal Dominant",MESH:C567274,CTD
"Deafness, Congenital Heart Defects, and Posterior Embryotoxon",MESH:C566604,CTD
"Deafness, congenital onychodystrophy, recessive form",MESH:C538204,CTD
"Deafness, Congenital, with Inner Ear Agenesis, Microtia, and Microdontia",MESH:C565195,CTD
"Deafness, Congenital, with Total Albinism",MESH:C565646,CTD
"Deafness, Congenital, with Vitiligo and Achalasia",MESH:C565642,CTD
Deafness-Craniofacial Syndrome,MESH:C565118,CTD
Deafness enamel hypoplasia nail defects,MESH:C535994,CTD
"Deafness, High-Frequency Sensorineural, X-Linked",MESH:C564432,CTD
Deafness hyperuricemia neurologic ataxia,MESH:C535995,CTD
Deafness-Hypogonadism Syndrome,MESH:C564435,CTD
"Deafness, Mid-Tone Neural",MESH:C565122,CTD
Deafness nephritis ano rectal malformation,MESH:C535996,CTD
"Deafness, Neural, Congenital Moderate",MESH:C565640,CTD
"Deafness, Neural, with Atypical Atopic Dermatitis",MESH:C565639,CTD
"Deafness, neurosensory, autosomal recessive 47",MESH:C538205,CTD
"DEAFNESS, NONSYNDROMIC, MODIFIER 1",OMIM:605429,CTD
Deafness oligodontia syndrome,MESH:C538049,CTD
"Deafness, Progressive High-Tone Neural",MESH:C562423,CTD
"Deafness, Progressive, With Stapes Fixation",MESH:C563316,CTD
"Deafness, Sensorineural, And Male Infertility",MESH:C567010,CTD
"Deafness, Sensorineural, Autosomal-Mitochondrial Type",MESH:C565637,CTD
"Deafness, Sensorineural, with Hypertrophic Cardiomyopathy",MESH:C565236,CTD
"Deafness, Sensorineural, with Peripheral Neuropathy and Arterial Disease",MESH:C565120,CTD
"Deafness, Unilateral",MESH:C567079,CTD
"Deafness, Unilateral, With Delayed Endolymphatic Hydrops",MESH:C567420,CTD
Deafness with Anhidrotic Ectodermal Dysplasia,MESH:C565119,CTD
"Deafness, X-Linked 1",MESH:C564433,CTD
"Deafness, X-Linked 3",MESH:C564727,CTD
"Deafness, X-Linked 4",MESH:C564723,CTD
"Deafness, X-Linked 5",MESH:C564472,CTD
"DEAFNESS, Y-LINKED 1",OMIM:400043,CTD
Deal Barratt Dillon syndrome,MESH:C538206,CTD
Death,MESH:D003643,CTD
"Death, Sudden",MESH:D003645,CTD
"Death, Sudden, Cardiac",MESH:D016757,CTD
De Barsy syndrome,MESH:C535990,CTD
"Decalcification, Pathologic",MESH:D003649,CTD
Decapitation,MESH:D049248,CTD
Decerebrate State,MESH:D003655,CTD
Decompression Sickness,MESH:D003665,CTD
Deficiency Diseases,MESH:D003677,CTD
Deficiency of interleukin-1 receptor antagonist,MESH:C557815,CTD
Deglutition Disorders,MESH:D003680,CTD
De Hauwere Leroy Adriaenssens syndrome,MESH:C535991,CTD
"Dehydrated Hereditary Stomatocytosis, Pseudohyperkalemia, and Perinatal Edema",MESH:C566369,CTD
Dehydration,MESH:D003681,CTD
De Lange Syndrome,MESH:D003635,CTD
Delayed Cranial Ossification due to CBFB Haploinsufficiency,MESH:C565160,CTD
Delayed Emergence from Anesthesia,MESH:D055191,CTD
Delayed Graft Function,MESH:D051799,CTD
"Deletion 13q syndrome, partial",MESH:C535449,CTD
Deletion 6q16 q21,MESH:C538207,CTD
Delirium,MESH:D003693,CTD
Delta-Beta Thalassemia,MESH:C562716,CTD
Deltaretrovirus Infections,MESH:D006800,CTD
delta-Thalassemia,MESH:D055538,CTD
Delusional Parasitosis,MESH:D063726,CTD
Dementia,MESH:D003704,CTD
"Dementia, familial British",MESH:C538208,CTD
"Dementia, familial Danish",MESH:C538209,CTD
"Dementia, Multi-Infarct",MESH:D015161,CTD
Dementia-Parkinsonism With Non-Alzheimer Amyloid Plaques,MESH:C565115,CTD
"Dementia, Vascular",MESH:D015140,CTD
"Demyelinating Autoimmune Diseases, CNS",MESH:D020278,CTD
Demyelinating Diseases,MESH:D003711,CTD
"Dendritic Cell Sarcoma, Follicular",MESH:D054740,CTD
"Dendritic Cell Sarcoma, Interdigitating",MESH:D054739,CTD
Dengue,MESH:D003715,CTD
Dennis Fairhurst Moore syndrome,MESH:C538210,CTD
Dens in Dente,MESH:D003719,CTD
Dens in dente and palatal invaginations,MESH:C538211,CTD
Dental Calculus,MESH:D003728,CTD
Dental Caries,MESH:D003731,CTD
Dental Deposits,MESH:D003741,CTD
Dental Enamel Hypoplasia,MESH:D003744,CTD
Dental Fissures,MESH:D003750,CTD
Dental Fistula,MESH:D003751,CTD
Dental Leakage,MESH:D003763,CTD
"Dental Occlusion, Traumatic",MESH:D003769,CTD
Dental Plaque,MESH:D003773,CTD
Dental Pulp Calcification,MESH:D003784,CTD
Dental Pulp Diseases,MESH:D003788,CTD
Dental Pulp Exposure,MESH:D003789,CTD
Dental Pulp Necrosis,MESH:D003790,CTD
Dent Disease,MESH:D057973,CTD
Dent disease 1,MESH:C538212,CTD
Dent Disease 2,MESH:C564487,CTD
Dentigerous Cyst,MESH:D003803,CTD
Dentin Dysplasia,MESH:D003805,CTD
Dentin dysplasia sclerotic bones,MESH:C538213,CTD
"Dentin dysplasia, type 1",MESH:C538215,CTD
"DENTIN DYSPLASIA, TYPE II",OMIM:125420,CTD
Dentinogenesis Imperfecta,MESH:D003811,CTD
"Dentinogenesis imperfecta, shields type 3",MESH:C538216,CTD
"Dentin, Secondary",MESH:D003809,CTD
Dentin Sensitivity,MESH:D003807,CTD
Dentofacial Deformities,MESH:D063169,CTD
Denys-Drash Syndrome,MESH:D030321,CTD
Deoxyguanosine Kinase Deficiency,MESH:C580039,CTD
Deoxyribose-5-Phosphate Aldolase Deficiency,MESH:C565112,CTD
Dependent Personality Disorder,MESH:D003859,CTD
"Depression, Postpartum",MESH:D019052,CTD
Depressive Disorder,MESH:D003866,CTD
"Depressive Disorder, Major",MESH:D003865,CTD
"Depressive Disorder, Treatment-Resistant",MESH:D061218,CTD
De Quervain Disease,MESH:D053684,CTD
Der Kaloustian Mcintosh Silver syndrome,MESH:C538217,CTD
"Dermal Ridges, Nelson Syndrome",MESH:C565110,CTD
"Dermal Ridges, Patternless",MESH:C565109,CTD
Dermatitis,MESH:D003872,CTD
"Dermatitis, Allergic Contact",MESH:D017449,CTD
"Dermatitis, Atopic",MESH:D003876,CTD
"Dermatitis, Atopic, 1",MESH:C566404,CTD
"Dermatitis, Atopic, 2",MESH:C565293,CTD
"Dermatitis, Atopic, 3",MESH:C565292,CTD
"Dermatitis, Atopic, 4",MESH:C565291,CTD
"Dermatitis, Atopic, 5",MESH:C565280,CTD
"Dermatitis, Atopic, 6",MESH:C565279,CTD
"Dermatitis, Atopic, 7",MESH:C567796,CTD
"Dermatitis, Contact",MESH:D003877,CTD
"Dermatitis, Exfoliative",MESH:D003873,CTD
Dermatitis Herpetiformis,MESH:D003874,CTD
"Dermatitis herpetiformis, familial",MESH:C538218,CTD
"Dermatitis, Irritant",MESH:D017453,CTD
"Dermatitis, Occupational",MESH:D009783,CTD
"Dermatitis, Perioral",MESH:D019557,CTD
"Dermatitis, Photoallergic",MESH:D017454,CTD
"Dermatitis, Phototoxic",MESH:D017484,CTD
"Dermatitis, Seborrheic",MESH:D012628,CTD
"Dermatitis, Toxicodendron",MESH:D011040,CTD
Dermatofibrosarcoma,MESH:D018223,CTD
Dermatoleukodystrophy,MESH:C538220,CTD
Dermatomycoses,MESH:D003881,CTD
Dermatomyositis,MESH:D003882,CTD
Dermatoosteolysis Kirghizian type,MESH:C535373,CTD
Dermatopathia pigmentosa reticularis,MESH:C535374,CTD
Dermatosis Papulosa Nigra,MESH:C562379,CTD
Dermochondrocorneal dystrophy of Fran?ois,MESH:C535375,CTD
Dermoid Cyst,MESH:D003884,CTD
"Dermoid Cysts, Familial Frontonasal",MESH:C563455,CTD
Dermoids of cornea,MESH:C535376,CTD
Dermoodontodysplasia,MESH:C565103,CTD
De Sanctis-Cacchione syndrome,MESH:C535992,CTD
Desbuquois syndrome,MESH:C535943,CTD
"Desmoid disease, hereditary",MESH:C535944,CTD
Desmoplastic cerebral astrocytoma of infancy,MESH:C535945,CTD
Desmoplastic Small Round Cell Tumor,MESH:D058405,CTD
Desmosterolosis,MESH:C566555,CTD
Desulfovibrionaceae Infections,MESH:D045824,CTD
"Developmental Delay, Epilepsy, and Neonatal Diabetes",MESH:C565253,CTD
Developmental Disabilities,MESH:D002658,CTD
DEVELOPMENTAL DYSPLASIA OF THE HIP 1,OMIM:142700,CTD
Devriendt syndrome,MESH:C535947,CTD
Dextrocardia,MESH:D003914,CTD
